system:index,Landcover_Class,B2,B3,B4,B5,B6,B7,B1
28375_0,17,238,787,500,3878,1470,811,90
28378_0,17,297,612,290,4440,1692,710,273
28379_0,11,237,564,653,1494,1956,1373,161
28383_0,11,396,663,813,2092,2881,1880,271
28384_0,19,312,384,434,1470,1011,692,311
28387_0,12,376,629,587,2099,2437,1565,305
28389_0,17,369,569,652,1678,1785,1270,321
28390_0,17,260,340,420,731,1626,1602,203
28391_0,9,79,148,100,1114,522,228,55
28392_0,4,1867,2288,2351,2454,2194,1255,1691
28393_0,4,508,1093,1317,1930,1956,1633,252
28395_0,11,344,598,378,2787,1766,959,307
28398_0,17,226,311,371,694,945,754,181
28399_0,12,508,926,899,3392,2470,1546,373
28400_0,17,334,449,551,941,1735,1464,290
28402_0,0,488,613,404,68,18,11,412
28405_0,0,239,202,101,36,19,11,258
28406_0,0,479,622,389,62,11,12,388
28407_0,12,510,651,668,1455,2395,1923,447
28408_0,3,383,602,671,1573,1247,913,314
28410_0,17,613,986,1023,3004,2325,1678,506
28413_0,19,347,640,750,2189,2636,1621,206
28414_0,2,139,245,232,1562,571,319,88
28419_0,17,502,599,701,1056,1681,1458,469
28420_0,11,214,412,372,2110,1700,949,139
28421_0,11,385,627,450,2476,2204,1282,360
28425_0,11,279,560,419,3091,2020,1113,199
28427_0,8,52,143,110,1575,359,154,13
28428_0,17,231,389,294,2316,1316,645,209
28430_0,17,450,675,676,2412,2060,1368,388
28435_0,9,145,322,248,1659,1249,682,98
28437_0,0,213,177,79,44,33,19,220
28438_0,4,456,875,873,1442,1340,1211,266
28439_0,2,229,477,441,1798,997,650,179
28442_0,17,290,533,322,3571,1852,857,286
28443_0,0,223,169,94,55,37,23,233
28444_0,0,268,332,293,233,55,31,238
28446_0,17,476,832,749,3026,2213,1433,402
28447_0,4,401,602,599,2122,1268,863,333
28448_0,12,402,584,709,1595,2948,2016,317
28449_0,17,753,1088,1482,2508,3202,2267,580
28452_0,17,566,862,1112,1576,2439,2112,456
28455_0,4,341,453,531,1263,1068,832,249
28456_0,8,93,196,142,1884,547,229,51
28458_0,0,321,236,101,50,27,18,355
28464_0,11,337,519,579,1825,2173,1435,272
28467_0,0,249,216,89,38,20,14,263
28468_0,12,377,506,507,1730,2094,1283,331
28469_0,17,356,574,577,2066,1600,1099,225
28472_0,12,421,707,715,2061,2256,1445,310
28473_0,4,492,735,735,2308,1436,968,400
28474_0,17,304,386,468,845,1472,1309,239
28475_0,2,263,426,373,2654,1522,749,217
28476_0,11,294,532,614,2228,1969,1146,182
28484_0,17,421,514,578,912,1379,1084,379
28485_0,12,609,929,1086,2400,3464,2378,521
28486_0,11,263,580,573,2673,1897,1031,152
28487_0,17,410,693,766,2585,1970,1406,308
28489_0,4,470,715,738,1349,1047,828,399
28492_0,4,690,995,1119,1761,1792,1453,523
28493_0,0,574,1153,1821,450,30,17,620
28496_0,12,377,670,610,2752,2484,1404,282
28497_0,17,312,623,340,4181,1869,875,294
28498_0,11,187,261,245,720,742,427,127
28503_0,8,23,64,68,211,212,125,-34
28504_0,3,472,659,707,1433,1145,944,387
28508_0,4,467,660,766,1588,1242,948,374
28511_0,12,796,1220,1484,3045,3771,2497,571
28513_0,4,353,553,724,1132,1300,1164,296
28514_0,12,327,734,655,2725,2258,1264,198
28515_0,12,406,643,658,2087,2790,1822,325
28518_0,8,216,368,354,1785,1363,755,140
28521_0,0,260,207,86,41,19,11,269
28523_0,11,197,315,337,942,1481,956,121
28525_0,11,284,503,585,1635,2583,1666,188
28526_0,2,301,439,453,2133,1353,838,195
28527_0,9,128,324,314,2026,1043,531,66
28529_0,8,62,102,59,789,295,121,24
28530_0,17,222,578,402,3915,1195,534,89
28531_0,12,267,495,434,1620,1389,801,189
28532_0,8,128,261,269,1539,1214,688,58
28533_0,0,376,352,140,41,24,14,359
28534_0,17,314,430,527,987,1553,1381,284
28535_0,12,490,898,710,3246,2628,1514,424
28543_0,16,431,770,580,3523,2415,1279,377
28544_0,12,303,588,439,2521,2257,1247,252
28545_0,12,216,338,334,825,842,504,162
28547_0,11,396,784,949,2561,2781,1631,225
28548_0,12,366,764,550,3407,2750,1493,305
28549_0,12,564,1033,925,3600,3349,1869,427
28551_0,0,205,158,79,46,33,24,223
28552_0,11,385,572,613,1670,2088,1453,327
28553_0,0,200,143,76,42,35,23,218
28554_0,11,368,570,582,1412,2237,1554,297
28555_0,2,701,1100,1018,3241,2824,2091,596
