system:index,Landcover_Class,B2,B3,B4,B5,B6,B7,B1
3676_0,9,269,369,326,1926,1373,703,220
3677_0,3,994,1237,1323,2407,2301,1711,925
3679_0,17,286,485,538,1744,1494,972,241
3680_0,8,138,245,188,2117,852,381,87
3682_0,4,392,589,605,2389,1938,1171,322
3684_0,0,186,145,75,48,32,21,203
3689_0,4,492,646,709,1216,1187,928,381
3690_0,0,509,701,590,115,25,9,418
3691_0,17,565,753,895,1550,2467,2059,488
3692_0,0,264,341,266,373,178,117,274
3693_0,8,189,245,187,1021,661,343,147
3697_0,17,435,759,651,2979,2390,1501,368
3699_0,4,1007,1328,1437,2470,2235,1487,824
3701_0,17,347,575,555,2030,1687,1066,276
3702_0,3,580,802,842,1742,1532,1178,493
3703_0,4,797,1039,1127,1538,1567,1343,595
3704_0,5,1143,1294,1209,1148,1221,1025,1020
3706_0,11,192,282,281,1002,726,459,127
3707_0,12,692,1262,1477,3172,3797,2278,476
3708_0,9,171,402,376,2619,1710,909,105
3710_0,9,243,370,371,863,680,473,189
3711_0,12,329,533,449,1997,1823,1183,294
3716_0,17,278,509,413,3120,1874,1150,211
3717_0,3,561,745,831,1679,1246,970,449
3718_0,4,369,466,497,1521,949,731,309
3725_0,17,657,889,1085,1678,2696,2367,540
3727_0,9,217,298,252,1206,870,486,179
3728_0,9,86,202,168,1166,817,424,60
3731_0,9,397,686,501,3985,2200,1149,330
3733_0,12,420,807,871,2579,2591,1459,236
3735_0,12,590,868,898,2488,3024,1981,502
3738_0,0,378,290,108,51,31,18,362
3739_0,17,340,618,358,4187,1764,826,337
3741_0,12,452,682,573,2330,2071,1229,394
3742_0,17,335,673,658,2722,2362,1395,214
3743_0,4,640,837,953,1599,1346,1129,565
3746_0,3,186,288,281,1105,794,529,96
3748_0,0,211,163,75,36,28,21,218
3749_0,8,38,80,75,292,358,236,-2
3751_0,9,163,276,257,1256,764,443,101
3754_0,9,225,373,368,1068,1366,886,171
3757_0,0,546,726,570,105,19,14,432
3758_0,11,349,589,582,1952,2373,1529,257
3759_0,0,420,584,598,704,228,134,356
3760_0,9,269,412,397,2037,1724,943,214
3765_0,17,316,548,309,3708,1793,825,278
3767_0,9,178,265,271,918,1037,653,120
3769_0,0,272,178,96,44,22,17,328
3774_0,9,75,113,99,233,342,253,44
3776_0,9,134,355,279,3484,1535,710,59
3778_0,3,261,463,427,1763,966,666,166
3781_0,0,503,622,383,61,17,12,404
3782_0,0,237,209,98,37,20,13,253
3786_0,12,486,763,812,2254,2332,1430,369
3787_0,0,616,759,529,94,25,16,519
3789_0,4,567,976,1133,1610,1693,1488,338
3790_0,9,142,207,178,724,631,367,120
3791_0,12,339,608,380,2990,1926,1034,328
3793_0,17,373,531,495,1725,1631,1068,339
3795_0,17,336,541,456,2768,1789,1002,293
3796_0,9,164,317,295,2028,1402,712,75
3798_0,3,415,701,779,1746,1426,1141,276
3799_0,7,422,558,591,1651,2289,1453,358
3801_0,4,563,942,1043,1943,1490,1153,414
3802_0,17,264,420,332,2516,1317,665,241
3803_0,9,285,366,368,1256,1384,823,240
